"At the Beginning","At the Beginning"
"At the End","At the End"
SEO,SEO
"SEO Extended","SEO Extended"
"Meta Settings:","Meta Settings:"
"Add Pager Number to Meta Title","Add Pager Number to Meta Title"
"E.g. 'Apparel <b>| Page 3</b>'","E.g. 'Apparel <b>| Page 3</b>'"
"Add Pager Number to Meta Description","Add Pager Number to Meta Description"
"E.g. 'Description of apparel<b> | Page 2</b>'","E.g. 'Description of apparel<b> | Page 2</b>'"
"Remove Default Title Prefix/Suffix","Remove Default Title Prefix/Suffix"
Pages,Pages
"Magento Default Title & Suffix will be cropped for these pages.<br>                                    
                                &nbsp;&nbsp;&nbsp;&nbsp;For category: 'catalog_category_view'<br>
                                &nbsp;&nbsp;&nbsp;&nbsp;For product:  'catalog_product_view'<br>
                                Use <i>""Tools for SEO Suite extension"" -> ""Show Action Name of Page""</i>
                                to find the values for other pages.
                        ","Magento Default Title & Suffix will be cropped for these pages.<br>                                    
                                &nbsp;&nbsp;&nbsp;&nbsp;For category: 'catalog_category_view'<br>
                                &nbsp;&nbsp;&nbsp;&nbsp;For product:  'catalog_product_view'<br>
                                Use <i>""Tools for SEO Suite extension"" -> ""Show Action Name of Page""</i>
                                to find the values for other pages.
                        "
"Enable Extended Meta Title On Category Layered Navigation Pages","Enable Extended Meta Title On Category Layered Navigation Pages"
"E.g. 'Phones | <b>Price:$300.00 and above, Color:Silver</b>'</i>","E.g. 'Phones | <b>Price:$300.00 and above, Color:Silver</b>'</i>"
"Enable Extended Meta Description On Category Layered Navigation Pages","Enable Extended Meta Description On Category Layered Navigation Pages"
